,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
69,2017,2017,0,Total,115458,19545.0,"Census Tract 5018, Santa Clara County, CA",14000US06085501800
73,2017,2017,0,Total,89427,9785.0,"Census Tract 5019, Santa Clara County, CA",14000US06085501900
76,2017,2017,0,Total,67778,10470.0,"Census Tract 5020.01, Santa Clara County, CA",14000US06085502001
79,2017,2017,0,Total,64327,9284.0,"Census Tract 5020.02, Santa Clara County, CA",14000US06085502002
83,2017,2017,0,Total,94659,19954.0,"Census Tract 5021.01, Santa Clara County, CA",14000US06085502101
86,2017,2017,0,Total,57464,10678.0,"Census Tract 5021.02, Santa Clara County, CA",14000US06085502102
89,2017,2017,0,Total,62813,16708.0,"Census Tract 5022.01, Santa Clara County, CA",14000US06085502201
93,2017,2017,0,Total,93421,15282.0,"Census Tract 5022.02, Santa Clara County, CA",14000US06085502202
96,2017,2017,0,Total,126103,31445.0,"Census Tract 5023.01, Santa Clara County, CA",14000US06085502301
99,2017,2017,0,Total,86700,19006.0,"Census Tract 5023.02, Santa Clara County, CA",14000US06085502302
103,2017,2017,0,Total,126815,7416.000000000001,"Census Tract 5024, Santa Clara County, CA",14000US06085502400
106,2017,2017,0,Total,156875,15596.0,"Census Tract 5025, Santa Clara County, CA",14000US06085502500
109,2017,2017,0,Total,145991,22000.0,"Census Tract 5026.01, Santa Clara County, CA",14000US06085502601
113,2017,2017,0,Total,143359,37006.0,"Census Tract 5026.03, Santa Clara County, CA",14000US06085502603
116,2017,2017,0,Total,92100,6702.0,"Census Tract 5026.04, Santa Clara County, CA",14000US06085502604
119,2017,2017,0,Total,97566,13095.0,"Census Tract 5027.01, Santa Clara County, CA",14000US06085502701
123,2017,2017,0,Total,113636,20366.0,"Census Tract 5027.02, Santa Clara County, CA",14000US06085502702
126,2017,2017,0,Total,111250,18062.0,"Census Tract 5028, Santa Clara County, CA",14000US06085502800
129,2017,2017,0,Total,107296,15608.0,"Census Tract 5029.01, Santa Clara County, CA",14000US06085502901
133,2017,2017,0,Total,142614,20399.0,"Census Tract 5029.02, Santa Clara County, CA",14000US06085502902
